1.013,18.31,222.56,1.08,18.31,417.9,1.75
1.08,20,224.66,1.087,20,419.1,1.75
1.296,25,230.87,1.108,25,422.63,1.751
1.546,30,237.11,1.129,30,426.14,1.752
1.831,35,243.37,1.149,35,429.63,1.753
2.155,40,249.66,1.169,40,433.1,1.755
2.521,45,255.99,1.189,45,436.54,1.757
2.933,50,262.35,1.209,50,439.95,1.758
3.395,55,268.75,1.228,55,443.33,1.76
3.909,60,275.19,1.248,60,446.66,1.762
4.481,65,281.68,1.267,65,449.95,1.765
5.113,70,288.22,1.286,70,453.2,1.767
5.811,75,294.81,1.305,75,456.38,1.769
6.577,80,301.46,1.324,80,459.51,1.771
7.418,85,308.17,1.342,85,462.56,1.773
8.336,90,314.95,1.361,90,465.54,1.776
9.336,95,321.81,1.379,95,468.43,1.778
10.424,100,328.75,1.398,100,471.21,1.78
11.604,105,335.79,1.416,105,473.89,1.781
12.882,110,342.93,1.435,110,476.43,1.783
14.262,115,350.19,1.453,115,478.82,1.785
15.751,120,357.59,1.472,120,481.03,1.786
17.355,125,365.14,1.49,125,483.02,1.786
19.081,130,372.88,1.509,130,484.76,1.787
20.935,135,380.84,1.528,135,486.19,1.786
22.926,140,389.08,1.548,140,487.2,1.785
25.063,145,397.69,1.568,145,487.69,1.783
27.357,150,406.82,1.589,150,487.41,1.779
29.822,155,416.74,1.612,155,485.94,1.773
32.478,160,428.18,1.637,160,482.23,1.762
