1.013,-46.75,139.06,0.757,-46.75,336.01,1.627
1.101,-45,141.24,0.767,-45,337.05,1.625
1.387,-40,147.5,0.794,-40,340.03,1.62
1.727,-35,153.81,0.821,-35,342.97,1.615
2.129,-30,160.18,0.847,-29.99,345.88,1.611
2.599,-25,166.62,0.873,-24.99,348.74,1.607
3.145,-20,173.13,0.899,-19.99,351.55,1.604
3.775,-15,179.72,0.924,-14.99,354.3,1.601
4.495,-10,186.39,0.95,-9.98,356.98,1.598
5.316,-5,193.14,0.975,-4.98,359.58,1.596
6.244,0,200,1,0.02,362.09,1.593
7.289,5,206.96,1.025,5.02,364.48,1.591
8.46,10,214.04,1.05,10.03,366.76,1.589
9.766,15,221.25,1.075,15.03,368.88,1.587
11.218,20,228.61,1.099,20.03,370.84,1.585
12.826,25,236.13,1.124,25.03,372.59,1.582
14.6,30,243.84,1.149,30.03,374.11,1.579
16.553,35,251.77,1.175,35.04,375.34,1.576
18.696,40,259.96,1.2,40.04,376.22,1.572
21.044,45,268.48,1.227,45.04,376.66,1.567
23.612,50,277.41,1.254,50.03,376.51,1.56
26.419,55,286.91,1.282,55.03,375.53,1.552
29.486,60,297.28,1.312,60.03,373.24,1.54
32.847,65,309.3,1.347,65.02,368.4,1.521
36.562,70,328.32,1.401,70.01,353.38,1.474
